lcid	locale	int_curr_symbol	currency_symbol	mon_decimal_point	mon_thousands_sep	mon_grouping	positive_sign	negative_sign	int_frac_digits	frac_digits	p_cs_precedes	p_sep_by_space	n_cs_precedes	n_sep_by_space	p_sign_posn	n_sign_posn	decimal_point	thousands_sep	grouping
0x0425	et-EE	EUR	€	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x0426	lv-LV	EUR	€	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x0427	lt-LT	EUR	€	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x0428	tg-Cyrl_TJ	TJS	смн	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x0429	fa-IR	IRR	ريال	/	,	[3, 0]		-	2	2	0	0	0	0	3	3	/	,	[3, 0]
0x042A	vi-VN	VND	₫	,	.	[3, 0]		-	2	2	0	1	0	1	1	1	,	.	[3, 0]
0x042B	hy-AM	AMD	֏	.	,	[3, 0]		-	2	2	0	1	0	1	1	1	.	,	[3, 0]
0x042C	az-Latn_AZ	AZN	₼	,	.	[3, 0]		-	2	2	1	1	1	1	3	3	,	.	[3, 0]
0x042D	eu-ES	EUR	€	,	.	[3, 0]		-	2	2	0	1	0	1	1	1	,	.	[3, 0]
0x042E	hsb-DE	EUR	€	,	.	[3, 0]		-	2	2	0	1	0	1	1	1	,	.	[3, 0]
0x042F	mk-MK	MKD	ден	,	.	[3, 0]		-	2	2	0	1	0	1	1	1	,	.	[3, 0]
0x0430	st-ZA	ZAR	R	,	 	[3, 0]		-	2	2	1	0	1	0	3	3	,	 	[3, 0]
0x0431	ts-ZA	ZAR	R	,	 	[3, 0]		-	2	2	1	1	1	1	3	3	,	 	[3, 0]
0x0432	tn-ZA	ZAR	R	.	 	[3, 0]		-	2	2	1	0	1	0	3	3	.	 	[3, 0]
0x0433	ve-ZA	ZAR	R	,	 	[3, 0]		-	2	2	1	0	1	0	3	3	,	 	[3, 0]
0x0434	xh-ZA	ZAR	R	.	 	[3, 0]		-	2	2	1	0	1	0	3	3	.	 	[3, 0]
